playerid,name,position,position_id,team,team_id,value,GW_1,GW_2,GW_3,GW_4,GW_5,GW_6,GW_7,GW_8,GW_9,GW_10,GW_11,GW_12,GW_13,GW_14,GW_15,GW_16,GW_17,GW_18,GW_19,GW_20,GW_21,GW_22,GW_23,GW_24,GW_25,GW_26,GW_27,GW_28,GW_29,GW_30,GW_31,GW_32,GW_33,GW_34,GW_35,GW_36,GW_37,GW_38
18,Aidan Francis-Clarke,DEF,2,Luton,13,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Albert Sambi Lokonga,MID,4,Luton,13,4.9,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,3,6,2,2,5,1,2,3,0,0,0,0,0,0,0,0,2,1,6,9,1
20,Alejandro Garnacho,MID,4,Man Utd,6,4.9,3,2,0,1,1,0,1,1,1,1,2,3,8,2,4,2,3,2,14,4,2,1,16,2,5,2,2,9,0,1,14,2,4,5,2,2,4,3
21,Alejo Véliz,FWD,1,Spurs,15,5.4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Aleksandar Mitrović,FWD,1,Fulham,12,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Alex Iwobi,MID,4,Fulham,12,5.3,2,1,0,0,1,1,1,2,1,2,2,1,9,2,14,6,2,2,2,2,0,0,0,0,1,10,3,10,3,2,1,2,6,2,2,3,2,2
24,Alex Mighten,MID,4,Nott'm Forest,16,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Alex Murphy,DEF,2,Newcastle,17,3.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,Alex Scott,MID,4,Bournemouth,10,4.9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,9,6,1,2,1,2,1,1,1,2,0,0,1,1,0,4,3,1,1,1
27,Alex Telles,DEF,2,Man Utd,6,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Alexander Isak,FWD,1,Newcastle,17,7.7,13,2,2,2,0,5,6,13,1,0,0,0,8,2,2,2,0,1,7,6,6,1,0,0,0,2,8,6,0,15,8,2,12,2,13,7,4,14
29,Alexandre Moreno Lopera,DEF,2,Aston Villa,18,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,1,0,1,7,-1,14,1,1,-1,1,0,2,6,1,1,1,0,0,1,0,0
30,Alexis Mac Allister,MID,4,Liverpool,14,5.9,1,-2,2,3,0,6,1,2,3,2,1,0,2,9,1,0,0,0,0,1,3,2,2,2,17,0,6,10,0,4,10,2,2,3,1,2,2,9
31,Alfie Dorrington,DEF,2,Spurs,15,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Alfie Doughty,DEF,2,Luton,13,4.5,0,0,1,2,1,3,9,2,1,0,2,2,2,0,8,0,0,9,7,9,5,6,3,1,1,0,5,5,1,2,1,2,0,-1,1,2,4,5
33,Alfie Gilchrist,DEF,2,Chelsea,8,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,7,-1,6,1,0,0
34,Alfie Whiteman,GK,3,Spurs,15,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Alisson Ramses Becker,GK,3,Liverpool,14,5.6,3,2,5,8,2,3,4,1,8,7,6,7,3,0,0,3,6,2,6,1,6,2,2,0,0,0,0,0,0,0,0,0,3,5,3,2,1,6
36,Allan Campbell,MID,4,Luton,13,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Allan Saint-Maximin,MID,4,Newcastle,17,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Alphonse Areola,GK,3,West Ham,2,4.2,3,10,5,2,4,2,6,1,1,3,1,2,3,2,0,0,0,8,10,11,3,3,1,0,3,2,13,2,3,2,0,0,0,0,1,3,2,4
39,Altay Bayindir,GK,3,Man Utd,6,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Amad Diallo,MID,4,Man Utd,6,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,14,3
41,Amadou Diallo,MID,4,Newcastle,17,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Amadou Onana,MID,4,Everton,7,4.8,2,2,2,2,2,2,2,3,2,3,0,0,0,0,0,1,11,1,2,2,3,0,0,1,8,0,2,1,0,1,2,0,1,1,1,1,3,2
43,Amara Nallo,DEF,2,Liverpool,14,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Amari'i Bell,DEF,2,Luton,13,3.9,0,0,1,1,2,2,3,0,0,0,0,0,2,1,0,1,0,7,1,1,2,6,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
45,Ameen Al-Dakhil,DEF,2,Burnley,5,3.9,1,0,1,0,2,2,3,-1,1,0,0,0,0,0,0,0,1,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Anass Zaroury,MID,4,Burnley,5,4.7,-2,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Andi Zeqiri,FWD,1,Brighton,1,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Andre Brooks,MID,4,Sheffield Utd,9,4.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,1,2,1,1,1,0,1,0,1,0,0,0,1,0,0,2,2,2,1,1
49,Andreas Hoelgebaum Pereira,MID,4,Fulham,12,5.4,4,2,8,1,3,3,1,5,1,1,3,2,2,2,15,6,2,2,1,1,2,3,4,2,2,2,3,2,3,5,6,3,15,2,3,3,2,0
50,Andrew Omobamidele,DEF,2,Nott'm Forest,16,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,-1,0,0,2,1,1,0,1,0,0,0
51,Andrew Robertson,DEF,2,Liverpool,14,6.4,2,2,2,6,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,0,0,1,0,0,4,1,2,3,9,13,0,8
52,Andrey Nascimento dos Santos,MID,4,Nott'm Forest,16,4.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Andros Townsend,MID,4,Luton,13,5.0,0,0,0,0,0,0,0,0,4,1,3,2,3,1,5,5,0,11,2,2,2,1,0,1,1,0,1,5,1,2,2,2,1,1,0,1,0,1
54,André Onana,GK,3,Man Utd,6,4.9,9,2,0,0,2,7,2,2,3,2,6,8,9,3,2,1,10,2,1,1,2,1,8,4,3,2,2,11,0,3,2,2,2,1,4,2,5,7
55,André Tavares Gomes,MID,4,Everton,7,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,1,1,0,1,1,2,1,3,0,0,1,0
56,Andy Lonergan,GK,3,Everton,7,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Anel Ahmedhodžić,DEF,2,Sheffield Utd,9,4.3,1,1,1,0,1,-3,1,1,0,0,0,0,1,-1,1,8,1,0,8,0,0,0,0,2,0,1,-1,0,0,1,1,0,1,0,6,-2,0,1
58,Angelo Ogbonna,DEF,2,West Ham,2,4.3,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,-1,2,0
59,Anis Slimane,MID,4,Sheffield Utd,9,4.7,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,3,-1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
60,Anssumane Fati Vieira,MID,4,Brighton,1,6.4,0,0,0,0,1,1,5,1,7,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1,4,1,1,0,0,0,0,1,1,0,0,0,1,1
61,Anthony Elanga,MID,4,Nott'm Forest,16,5.0,4,1,1,7,2,1,2,1,9,2,3,6,7,2,2,2,2,7,10,5,0,1,2,7,6,2,2,1,2,1,2,6,0,1,2,2,1,5
62,Anthony Gordon,MID,4,Newcastle,17,6.0,4,0,10,1,5,12,5,0,8,2,7,2,13,10,2,2,6,2,1,5,7,1,4,2,8,2,8,1,0,8,0,3,17,1,10,6,8,0
63,Anthony Knockaert,MID,4,Fulham,12,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Anthony Martial,FWD,1,Man Utd,6,6.4,0,1,1,2,1,0,1,1,1,1,1,1,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Antoine Semenyo,FWD,1,Bournemouth,10,4.5,4,6,2,1,0,1,1,0,0,9,1,2,5,5,2,1,0,1,5,1,0,2,1,1,8,2,7,15,0,2,3,2,0,10,2,2,2,1
66,Antonee Robinson,DEF,2,Fulham,12,4.5,6,1,1,-1,0,7,1,0,1,1,1,2,4,4,6,6,1,1,1,2,2,6,5,2,5,2,6,1,11,1,1,2,6,1,2,7,-1,0
67,Antony Matheus dos Santos,MID,4,Man Utd,6,6.8,3,1,2,2,0,0,0,1,2,0,3,1,0,0,2,2,3,2,1,1,1,1,1,0,0,1,1,1,0,1,5,0,0,1,6,1,1,0
68,Antwoine Hackford,FWD,1,Sheffield Utd,9,4.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Aribim Pepple,FWD,1,Luton,13,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Arijanet Muric,GK,3,Burnley,5,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,2,3,7,8,10,5,2
71,Armando Broja,FWD,1,Chelsea,8,4.9,0,0,0,0,0,1,6,1,0,0,0,4,1,1,1,2,1,1,1,2,2,0,1,1,0,0,1,4,0,0,0,1,1,0,1,0,1,0
72,Arnaut Danjuma Groeneveld,MID,4,Everton,7,5.3,1,1,2,7,2,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Ashley Phillips,DEF,2,Spurs,15,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Ashley Young,DEF,2,Everton,7,4.4,2,0,2,1,1,1,1,5,-3,0,0,1,0,6,8,1,0,0,0,0,0,6,1,2,6,1,0,1,0,1,5,6,-2,7,7,2,6,1
75,Auston Trusty,DEF,2,Sheffield Utd,9,3.9,0,0,0,0,0,0,1,1,0,0,2,2,1,0,2,5,1,1,1,1,1,0,0,0,0,2,-1,1,0,0,1,1,1,0,0,1,2,1
76,Axel Disasi,DEF,2,Chelsea,8,5.0,11,0,6,2,5,2,6,2,0,2,2,0,0,1,1,1,6,2,2,0,5,-1,-2,1,2,0,9,1,0,1,1,1,0,0,1,1,0,0
77,Axel Piesold,MID,4,Luton,13,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Aymeric Laporte,DEF,2,Man City,19,4.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Bailey Peacock-Farrell,GK,3,Burnley,5,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Bart Verbruggen,GK,3,Brighton,1,4.4,0,0,2,2,0,2,0,1,0,0,5,0,1,0,0,2,3,2,0,0,0,0,3,0,5,2,0,10,0,4,6,2,2,0,2,6,6,0
81,Bashir Humphreys,DEF,2,Chelsea,8,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Ben Brereton,MID,4,Sheffield Utd,9,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,1,0,18,2,1,1,9,2,8,2,2
83,Ben Chilwell,DEF,2,Chelsea,8,5.5,7,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,2,2,0,1,0,0,0,0,0,4,0,0,0,0,0
84,Ben Davies,DEF,2,Spurs,15,4.3,0,4,1,0,0,0,1,1,0,1,0,1,1,1,1,2,5,2,6,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
85,Ben Doak,MID,4,Liverpool,14,4.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Ben Godfrey,DEF,2,Everton,7,4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,1,2,2,1,1,0,1,2,0,1,6,6,2,0,0
87,Ben Greenwood,DEF,2,Bournemouth,10,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Ben Jackson,DEF,2,Brighton,1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Ben Johnson,DEF,2,West Ham,2,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,2,1,-1,1,1,1,0,1,1,0,1,1,1,0,0,0,0
90,Ben Mee,DEF,2,Brentford,3,4.8,0,0,0,1,2,0,0,0,0,0,1,1,2,14,1,2,-2,0,0,0,7,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
91,Ben Osborn,MID,4,Sheffield Utd,9,4.8,2,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,5,2,1,2,2,0,2,1,2,2,6,0,2,0,1
92,Ben Parkinson,FWD,1,Newcastle,17,4.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Ben Pearson,MID,4,Bournemouth,10,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Bendegúz Bolla,DEF,2,Wolves,20,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Benicio Baker-Boaitey,MID,4,Brighton,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Benjamin Arthur,DEF,2,Brentford,3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Benjamin Fredrick,DEF,2,Brentford,3,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Benjamin White,DEF,2,Arsenal,4,5.7,1,7,1,2,7,4,14,9,0,6,2,0,1,1,4,2,5,1,1,1,6,2,1,9,6,2,13,11,0,6,6,5,5,26,1,6,6,2
99,Benoît Badiashile,DEF,2,Chelsea,8,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,8,1,2,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,6,6,2,0
100,Bernardo Veiga de Carvalho e Silva,MID,4,Man City,19,6.3,3,0,2,0,13,0,0,1,2,7,14,7,1,2,2,9,2,0,13,3,8,0,2,1,3,2,3,1,0,3,2,1,0,6,3,2,13,10
101,Bernd Leno,GK,3,Fulham,12,4.7,12,2,5,0,6,10,1,2,2,3,3,2,2,1,6,9,3,1,0,1,2,8,1,3,1,3,8,1,7,1,1,3,9,2,3,6,1,2
102,Bertrand Traoré,MID,4,Aston Villa,18,5.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Billy Blacker,FWD,1,Sheffield Utd,9,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Billy Crellin,GK,3,Everton,7,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Billy Gilmour,MID,4,Brighton,1,4.9,1,2,1,11,1,6,2,0,1,1,1,3,2,2,1,1,1,2,2,3,3,2,2,2,2,-1,0,0,0,0,0,0,0,0,1,3,3,0
106,Bobby Clark,MID,4,Liverpool,14,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
107,Bobby De Cordova-Reid,MID,4,Fulham,12,5.4,6,2,2,4,1,3,0,9,2,1,1,1,0,6,1,1,0,1,2,10,1,3,2,12,2,0,3,0,1,6,1,0,0,2,3,1,1,1
108,Bobby Thomas,DEF,2,Burnley,5,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Boubacar Kamara,MID,4,Aston Villa,18,5.0,2,3,3,1,1,3,2,1,2,2,1,2,1,0,2,3,2,0,0,0,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Boubacar Traoré,MID,4,Wolves,20,4.4,0,0,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,3,2,1,0,1
111,Bradley Ibrahim,MID,4,Arsenal,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Braian Ojeda Rodríguez,MID,4,Nott'm Forest,16,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Brandon Aguilera Zamora,MID,4,Nott'm Forest,16,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Brandon Austin,GK,3,Spurs,15,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Brandon Williams,DEF,2,Man Utd,6,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Brennan Johnson,MID,4,Spurs,15,5.8,2,2,2,0,1,2,0,0,1,3,1,9,2,5,2,3,1,9,2,6,2,7,2,7,1,0,8,8,1,8,9,2,2,0,3,5,7,6
117,Bruno Borges Fernandes,MID,4,Man Utd,6,8.3,3,1,12,2,1,10,2,2,7,1,11,3,6,2,0,1,0,1,1,2,2,5,6,2,2,4,5,11,0,2,8,9,15,18,4,0,5,0
118,Bruno Cavaco Jordão,MID,4,Wolves,20,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Bruno Guimarães Rodriguez Moura,MID,4,Newcastle,17,5.8,1,1,2,2,2,13,3,1,3,2,2,0,2,3,2,2,7,2,1,1,4,2,5,15,2,2,6,5,0,2,2,11,6,2,8,9,4,16
120,Bryan Gil Salvatierra,MID,4,Spurs,15,4.9,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,Bryan Mbeumo,MID,4,Brentford,3,6.8,7,16,2,8,2,1,2,2,14,13,5,2,2,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,3,9,1,3,12,2
122,Bukayo Saka,MID,4,Arsenal,4,8.9,10,3,8,4,6,13,9,0,5,6,2,5,8,8,5,2,3,1,2,7,3,10,9,15,15,10,7,2,0,3,0,10,2,9,12,10,2,0
123,Bénie Traoré,FWD,1,Sheffield Utd,9,5.2,2,2,2,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,CJ Egan-Riley,DEF,2,Burnley,5,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Callan McKenna,GK,3,Bournemouth,10,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Callum Hudson-Odoi,MID,4,Nott'm Forest,16,4.8,0,0,0,0,10,1,1,3,0,0,0,0,4,1,1,0,1,1,2,1,5,1,10,9,11,2,2,1,1,2,7,2,2,2,2,15,7,2
127,Callum Marshall,FWD,1,West Ham,2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Callum Scanlon,DEF,2,Liverpool,14,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
